연도,선수명,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
1983,하기룡,MBC,2.34,36,6,2,10,11,4,0,0.476,696,173.3333333333,137,4,48,8,73,57,45
1983,장명부,삼미,2.36,60,36,6,30,16,6,0,0.652,1712,427.3333333333,388,19,106,16,220,138,112
1983,유종겸,MBC,2.4,34,4,0,8,7,5,0,0.533,560,139,103,8,50,5,74,45,37
1983,박상열,OB,2.49,30,7,1,10,9,0,0,0.526,716,173.3333333333,162,11,44,14,68,57,48
1983,이길환,MBC,2.51,33,10,4,15,7,4,0,0.682,845,208.3333333333,184,8,56,11,85,68,58
1983,이광권,MBC,2.51,22,3,0,7,5,0,0,0.583,411,100.3333333333,96,7,31,4,35,37,28
1983,김시진,삼성,2.55,37,17,5,17,12,1,0,0.586,950,229.3333333333,189,8,95,14,154,78,65
1983,황태환,OB,2.65,39,0,0,6,6,14,0,0.5,449,105.3333333333,105,11,40,5,60,46,31
1983,이상윤,해태,2.67,46,14,3,20,10,6,0,0.667,944,229.3333333333,181,10,95,4,178,83,68
1983,김용남,해태,2.83,36,6,3,13,10,1,0,0.565,731,181.3333333333,171,12,30,5,80,67,57
1983,최동원,롯데,2.89,38,16,1,9,16,4,0,0.36,863,208.6666666666,202,17,51,8,148,89,67
1983,오영일,MBC,2.91,36,7,0,10,9,4,0,0.526,704,173,147,8,59,8,69,62,56
1983,임호균,삼미,3.03,35,15,1,12,15,2,0,0.444,954,234.6666666666,231,16,52,6,86,94,79
1983,주동식,해태,3.14,30,3,2,7,7,3,0,0.5,599,143.3333333333,133,14,38,9,56,60,50
1983,배경환,롯데,3.18,37,4,2,7,4,0,0,0.636,637,150,159,9,32,5,62,72,53
1983,권영호,삼성,3.2,32,5,0,6,10,7,0,0.375,556,135,113,7,48,6,49,58,48
1983,양일환,삼성,3.22,32,4,0,9,7,1,0,0.563,738,176.3333333333,155,12,63,11,62,82,63
1983,계형철,OB,3.44,29,9,3,9,12,0,0,0.429,816,193.3333333333,190,11,72,13,86,97,74
1983,김문희,롯데,3.48,34,5,0,8,10,0,0,0.444,649,155.3333333333,154,12,53,3,46,70,60
1983,황규봉,삼성,3.67,30,5,1,6,4,3,0,0.6,548,130,136,10,36,10,45,66,53
1983,이선희,삼성,3.76,29,3,1,5,13,0,0,0.278,548,127,122,17,59,7,57,66,53
1983,노상수,롯데,4.14,42,4,1,8,11,3,0,0.421,733,169.6666666666,179,17,52,12,69,94,78
1983,장호연,OB,4.23,34,3,1,6,17,2,0,0.261,681,155.3333333333,165,10,67,14,31,93,73
1984,장호연,OB,1.58,31,0,0,5,3,1,0,0.625,407,102.3333333333,77,3,35,4,47,34,18
1984,계형철,OB,2.06,29,6,1,14,4,0,0,0.778,701,174.6666666666,135,8,63,7,92,44,40
1984,김일융,삼성,2.27,38,14,3,16,10,3,0,0.615,907,222,191,7,78,6,155,68,56
1984,최동원,롯데,2.4,51,14,1,27,13,6,0,0.675,1132,284.6666666666,228,18,68,14,223,91,76
1984,김봉근,MBC,2.52,32,7,1,9,7,2,0,0.563,681,171.3333333333,146,9,37,6,61,62,48
1984,박상열,OB,2.57,30,1,0,12,7,0,0,0.632,532,133,108,8,49,10,47,42,38
1984,하기룡,MBC,2.82,30,11,3,15,8,1,0,0.652,751,178.6666666666,171,7,59,13,81,70,56
1984,윤석환,OB,2.84,57,0,0,12,8,25,0,0.6,581,146,108,17,43,3,111,49,46
1984,최일언,OB,2.84,37,1,0,9,6,3,0,0.6,695,167.6666666666,145,6,65,8,86,60,53
1984,이상윤,해태,2.85,40,8,1,10,13,8,0,0.435,876,211.6666666666,186,14,73,10,128,75,67
1984,임호균,롯데,2.95,27,9,0,10,9,0,0,0.526,692,161.6666666666,151,9,80,3,44,64,53
1984,김용남,해태,3.05,31,6,2,7,11,1,0,0.389,547,132.6666666666,133,10,19,1,68,58,45
1984,오영일,MBC,3.08,40,14,2,15,14,3,0,0.517,1004,239.6666666666,239,16,79,13,93,92,82
1984,김진욱,OB,3.13,25,5,1,6,11,2,0,0.353,508,118,107,5,58,10,43,53,41
1984,김시진,삼성,3.18,39,11,2,19,11,2,0,0.633,910,215,178,14,112,13,154,94,76
1984,황규봉,삼성,3.25,30,2,1,10,2,4,0,0.833,452,108,109,4,24,8,48,42,39
1984,강만식,해태,3.26,28,3,0,11,4,0,0,0.733,540,129.6666666666,124,14,36,7,60,58,47
1984,권영호,삼성,3.28,29,2,0,6,8,2,0,0.429,574,137.3333333333,124,8,57,4,52,53,50
1984,장명부,삼미,3.3,45,15,2,13,20,7,0,0.394,1074,261.6666666666,261,20,66,6,145,111,96
1984,조도연,해태,3.34,35,2,0,4,6,2,0,0.4,547,129.3333333333,122,11,44,3,63,61,48
1984,배경환,롯데,3.48,35,2,0,6,5,2,0,0.545,516,121.6666666666,135,10,28,5,59,57,47
1984,박정후,삼미,3.5,31,2,0,5,11,0,0,0.313,586,139,129,9,70,11,60,58,54
1984,유종겸,MBC,3.53,38,6,0,8,10,4,0,0.444,770,183.6666666666,180,13,52,5,85,79,72
1984,최계훈,삼미,3.54,34,4,0,8,8,9,0,0.5,589,137.3333333333,132,9,55,6,99,67,54
1984,황기선,해태,3.76,38,2,0,4,7,1,0,0.364,536,124.3333333333,110,10,55,9,65,70,52
1984,정성만,삼미,4.86,29,3,0,8,10,1,0,0.444,666,150,149,20,83,6,67,86,81
1985,선동열,해태,1.7,25,1,0,7,4,8,0,0.636,424,111,74,2,20,3,103,30,21
1985,최동원,롯데,1.92,42,14,4,20,9,8,0,0.69,865,225,170,7,41,8,161,60,48
1985,김시진,삼성,2,47,10,2,25,5,10,0,0.833,1064,269.6666666666,172,8,121,15,201,63,60
1985,이선희,MBC,2.28,28,4,1,5,7,2,0,0.417,569,138,111,5,55,4,48,44,35
1985,최일언,OB,2.43,38,2,0,10,14,3,0,0.417,610,144.6666666666,119,4,75,5,88,57,39
1985,김정행,롯데,2.73,19,5,2,7,5,0,0,0.583,482,115.3333333333,103,6,54,4,55,42,35
1985,박동수,롯데,2.73,32,7,2,9,10,0,0,0.474,695,168,158,11,36,17,84,69,51
1985,계형철,OB,2.78,34,8,0,11,11,2,0,0.5,789,194,165,17,63,7,84,71,60
1985,김일융,삼성,2.79,34,11,3,25,6,0,0,0.806,920,226,200,13,77,5,107,87,70
1985,하기룡,MBC,2.92,26,4,0,5,10,2,0,0.333,468,111,103,3,53,4,31,46,36
1985,유종겸,MBC,2.99,33,3,0,10,8,1,0,0.556,547,135.3333333333,111,10,52,5,40,52,45
1985,김진욱,OB,3.02,30,4,2,10,8,0,0,0.556,605,143,134,7,55,10,57,56,48
1985,황규봉,삼성,3.04,34,4,0,14,7,4,0,0.667,679,165.6666666666,158,12,38,4,54,66,56
1985,정삼흠,MBC,3.13,41,7,3,9,12,5,0,0.429,801,192.6666666666,169,13,72,12,100,72,67
1985,임호균,롯데,3.23,27,3,1,10,10,0,0,0.5,617,145,136,8,77,0,43,63,52
1985,강만식,해태,3.31,41,5,2,13,8,0,0,0.619,803,198.6666666666,178,22,44,19,63,78,73
1985,김봉근,MBC,3.34,21,4,0,2,7,0,0,0.222,461,113.3333333333,110,16,27,5,37,47,42
1985,윤석환,OB,3.34,41,1,0,5,1,6,0,0.833,453,110.3333333333,114,13,30,5,44,48,41
1985,문희수,해태,3.48,39,2,0,12,8,1,0,0.6,631,144.6666666666,159,11,48,5,64,69,56
1985,장호연,OB,3.5,29,5,0,7,4,1,0,0.636,531,128.6666666666,110,9,63,4,46,61,50
1985,권영호,삼성,3.5,54,0,0,6,6,26,0,0.5,746,174.6666666666,170,14,68,3,82,75,68
1985,오영일,MBC,3.53,28,3,0,8,8,1,0,0.5,555,127.3333333333,132,6,47,7,43,56,50
1985,최계훈,청보,3.56,20,9,1,6,6,0,0,0.5,505,118.6666666666,106,13,55,6,54,51,47
1985,정은배,청보,3.64,29,5,1,7,9,2,0,0.438,607,141,142,14,60,8,45,66,57
1985,조도연,해태,3.71,36,1,0,4,6,2,0,0.4,522,123.6666666666,131,10,35,5,46,56,51
1985,김용남,해태,4.48,43,1,0,11,6,8,0,0.647,560,134.6666666666,147,14,26,3,74,74,67
1985,정성만,청보,5,37,11,1,7,14,3,0,0.333,767,172.666666666,207,19,64,7,56,103,96
1985,장명부,청보,5.3,45,11,0,11,25,5,0,0.306,1117,246,303,22,100,12,128,175,145
1986,선동열,해태,0.99,39,19,8,24,6,6,0,0.8,972,262.6666666666,153,2,52,7,214,38,29
1986,최동원,롯데,1.55,39,17,4,19,14,2,0,0.576,1039,267,204,7,55,6,208,60,46
1986,최일언,OB,1.58,33,13,6,19,4,2,0,0.826,881,221.6666666666,140,2,101,6,101,49,39
1986,김용수,MBC,1.67,60,0,0,9,9,26,0,0.5,694,178,128,4,59,3,74,40,33
1986,김건우,MBC,1.8,37,9,2,18,6,0,0,0.75,891,229.6666666666,170,6,62,9,102,62,46
1986,장호연,OB,1.9,31,10,4,13,9,3,0,0.591,659,165.6666666666,136,7,45,6,44,46,35
1986,박노준,OB,2.28,33,1,0,5,6,7,0,0.455,442,110.3333333333,91,4,36,2,61,34,28
1986,성준,삼성,2.36,29,6,1,15,5,2,0,0.75,607,149,135,9,40,3,60,48,39
1986,김시진,삼성,2.47,30,11,1,16,6,3,0,0.727,822,196.6666666666,161,6,110,6,87,68,54
1986,김일융,삼성,2.53,19,7,2,13,4,0,0,0.765,573,138.6666666666,120,8,45,2,60,47,39
1986,박동수,롯데,2.54,30,5,0,8,7,3,0,0.533,613,148.6666666666,133,2,31,13,68,53,42
1986,이상군,빙그레,2.63,35,19,4,12,17,1,0,0.414,972,243.3333333333,216,17,43,11,104,88,71
1986,김정수,해태,2.65,41,2,0,9,6,5,0,0.6,547,125.6666666666,93,5,89,4,92,53,37
1986,권영호,삼성,2.77,38,3,1,7,7,19,0,0.5,593,146.3333333333,120,12,53,2,74,47,45
1986,차동철,해태,2.82,33,3,2,10,4,3,0,0.714,535,131,134,4,24,5,35,46,41
1986,진동한,삼성,2.88,24,2,0,9,4,4,0,0.692,457,109.3333333333,99,8,41,3,37,42,35
1986,김정행,롯데,2.9,20,6,2,7,7,0,0,0.5,499,118,94,5,61,7,51,40,38
1986,이상윤,해태,2.97,21,3,1,10,5,0,0,0.667,478,115,91,7,51,3,48,45,38
1986,오영일,MBC,3,33,0,0,12,8,0,0,0.6,569,132,136,9,55,4,43,54,44
1986,유종겸,MBC,3.03,41,1,1,10,7,0,0,0.588,599,145.6666666666,131,8,49,5,84,61,49
1986,한희민,빙그레,3.13,29,12,3,9,13,0,0,0.409,700,175.3333333333,136,18,49,10,123,67,61
1986,계형철,OB,3.16,22,3,1,5,7,0,0,0.417,452,111,94,8,50,2,47,48,39
1986,김기태,청보,3.18,42,6,1,9,14,5,0,0.391,746,175.3333333333,158,12,66,17,109,73,62
1986,김신부,청보,3.21,40,10,3,10,10,0,0,0.5,965,233,220,12,57,21,89,93,83
1986,손문곤,빙그레,3.38,28,3,1,2,5,0,0,0.286,495,117,118,6,47,3,36,51,44
1986,최계훈,청보,3.67,32,7,1,6,14,2,0,0.3,688,159.3333333333,164,12,67,5,62,79,65
1986,장명부,빙그레,4.98,22,3,0,1,18,0,0,0.053,493,108.3333333333,130,12,41,9,48,71,60
1987,선동열,해태,0.89,31,7,4,14,2,6,0,0.875,604,162,89,2,47,3,144,21,16
1987,김용수,MBC,1.98,52,0,0,9,5,24,0,0.643,560,141,112,6,36,4,71,34,31
1987,문희수,해태,2.14,22,4,1,7,7,2,0,0.5,429,109.3333333333,89,5,27,4,37,34,26
1987,한희민,빙그레,2.36,30,14,3,13,8,4,0,0.619,798,206,156,7,44,4,116,64,54
1987,이상군,빙그레,2.55,33,24,3,18,11,2,0,0.621,1006,246.6666666666,233,13,52,10,85,83,70
1987,최일언,OB,2.56,24,9,2,14,8,1,0,0.636,639,154.6666666666,129,4,70,6,70,52,44
1987,윤학길,롯데,2.57,31,13,2,13,10,1,0,0.565,815,200,191,4,62,3,84,66,57
1987,김진욱,OB,2.57,32,7,2,4,7,6,0,0.364,601,150.3333333333,120,3,58,3,82,49,43
1987,계형철,OB,2.61,25,5,0,8,12,0,0,0.4,633,148.3333333333,122,3,74,6,53,59,43
1987,김건우,MBC,2.64,26,6,1,12,7,0,0,0.632,686,163.3333333333,170,5,51,3,56,54,48
1987,김대현,해태,2.78,31,3,0,9,5,3,0,0.643,580,142.3333333333,121,12,53,4,51,48,44
1987,진동한,삼성,2.81,28,2,0,12,6,2,0,0.667,596,144,144,8,49,7,34,56,45
1987,최동원,롯데,2.81,32,15,4,14,12,2,0,0.538,920,224,218,6,61,7,163,80,70
1987,장호연,OB,2.82,32,13,2,15,8,6,0,0.652,784,188.3333333333,170,1,74,10,73,67,59
1987,정삼흠,MBC,2.86,33,8,3,6,13,2,0,0.316,804,195.3333333333,171,10,73,7,85,68,62
1987,신동수,해태,3.03,31,2,1,5,4,0,0,0.556,524,127.6666666666,112,10,53,3,67,48,43
1987,양상문,청보,3.1,36,13,3,12,13,0,0,0.48,863,209.3333333333,188,18,66,5,84,87,72
1987,김시진,삼성,3.12,33,7,3,23,6,0,0,0.793,818,193.3333333333,166,9,96,7,113,73,67
1987,차동철,해태,3.16,35,7,2,9,11,0,0,0.45,653,159.6666666666,157,8,39,5,49,65,56
1987,성준,삼성,3.55,21,4,2,4,7,1,0,0.364,459,109,111,11,47,1,32,44,43
1987,임호균,청보,3.78,27,11,1,9,10,0,0,0.474,748,173.6666666666,185,8,80,6,38,80,73
1987,김신부,청보,4.04,27,4,1,6,11,1,0,0.353,500,113.6666666666,132,4,32,13,33,54,51
1987,박동수,롯데,4.24,32,8,1,9,8,3,0,0.529,601,140,165,10,27,13,71,72,66
1987,오영일,MBC,4.27,30,2,0,9,8,0,0,0.529,621,143.3333333333,155,10,51,7,41,75,68
1987,김봉근,청보,4.87,27,5,0,4,11,2,0,0.267,590,135,163,12,37,4,41,82,73
1988,선동열,해태,1.21,31,9,1,16,5,10,0,0.762,674,178.3333333333,116,3,35,7,200,29,24
1988,윤석환,OB,2.08,40,0,0,13,3,14,0,0.813,439,108,96,6,38,2,53,28,25
1988,최일언,OB,2.18,20,2,0,6,4,0,0,0.6,485,115.6666666666,100,0,48,5,50,33,28
1988,이상군,빙그레,2.4,38,3,1,10,3,16,0,0.769,530,135,120,7,22,3,47,38,36
1988,김훈기,삼성,2.75,27,6,3,10,5,3,0,0.667,472,118,102,8,23,3,50,44,36
1988,김성길,삼성,2.8,38,2,1,8,4,6,0,0.667,615,151.3333333333,150,10,31,5,62,51,47
1988,이용철,MBC,2.81,29,6,0,7,11,0,0,0.389,610,144.3333333333,138,5,55,7,46,63,45
1988,이상윤,해태,2.89,30,3,1,16,6,0,0,0.727,575,137,98,3,75,4,55,56,44
1988,문희수,해태,3.02,26,4,1,8,7,3,0,0.533,458,110.3333333333,101,9,33,1,55,45,37
1988,김진욱,OB,3.1,29,5,2,11,8,2,0,0.579,559,139.3333333333,116,6,45,8,73,52,48
1988,한희민,빙그레,3.11,31,10,4,16,5,5,0,0.762,782,188,188,16,55,7,103,72,65
1988,윤학길,롯데,3.15,35,17,3,18,10,3,0,0.643,967,234,241,9,53,5,123,89,82
1988,성준,삼성,3.33,31,4,2,11,8,2,0,0.579,668,159.6666666666,135,17,74,3,59,67,59
1988,차동철,해태,3.34,32,5,3,10,6,1,0,0.625,607,145.6666666666,156,11,21,10,45,68,54
1988,오영일,MBC,3.48,28,8,0,7,11,2,0,0.389,760,176,208,9,50,5,64,83,68
1988,김시진,삼성,3.49,25,5,1,11,9,0,0,0.55,602,144.3333333333,107,10,70,7,67,62,56
1988,이길환,MBC,3.53,24,3,1,10,4,0,0,0.714,517,122.3333333333,131,11,32,5,28,61,48
1988,박동수,롯데,3.62,31,0,0,7,8,2,0,0.467,490,114.3333333333,131,6,27,7,59,59,46
1988,계형철,OB,3.75,33,2,0,10,12,2,0,0.455,558,129.6666666666,121,7,62,2,48,59,54
1988,한오종,OB,3.81,26,2,1,4,4,0,0,0.5,496,115.6666666666,108,9,57,3,60,54,49
1988,양상문,태평양,3.83,38,8,1,9,12,3,0,0.429,722,169.3333333333,185,12,54,2,68,89,72
1988,김대중,빙그레,3.86,23,4,1,7,7,1,0,0.5,508,119,131,9,34,13,36,54,51
1988,김신부,태평양,3.87,29,2,1,9,8,1,0,0.529,526,123.3333333333,126,8,29,16,38,63,53
1988,조병천,태평양,3.94,28,4,0,2,10,1,0,0.167,546,128,134,6,44,1,40,59,56
1988,장호연,OB,3.95,36,3,1,8,12,1,0,0.4,629,146,163,12,44,6,46,76,64
1988,신완근,태평양,3.95,37,1,0,2,9,3,0,0.182,585,139,141,8,44,3,73,71,61
1988,김용남,빙그레,4.11,27,1,0,8,6,1,0,0.571,525,122.6666666666,150,9,25,2,41,67,56
1988,유종겸,MBC,4.13,23,6,1,4,7,1,0,0.364,484,109,102,7,65,3,45,58,50
1988,김홍명,빙그레,4.27,24,7,1,8,13,0,0,0.381,656,151.6666666666,158,8,72,4,61,75,72
1988,김대현,해태,4.54,31,3,0,7,6,2,0,0.538,585,136.6666666666,136,15,44,8,47,72,69
1988,정삼흠,MBC,5.67,27,6,1,5,16,0,0,0.238,634,139.6666666666,163,20,61,14,43,96,88
